content,score,sentimen,content_clean
Login tidak bisaaaa.,1,0,login bisaaaa
"Layanan daftar online, tapi jam kerja cuma sampai jam 12.00, selebihnya ditolak. Nek males, golek penak, rasah kerjo sisan wae mas. Turu wae ning omah penak.",1,0,layan daftar online jam kerja jam lebih tolak nek malas golek penak rasah kerjo sis wae turu wae ning omah penak
Kenapa free hotspot skrg gabisa login,1,0,free hotspot login
terlalu lamban,1,0,lamban
Gagal trs di proses akhirnya .sulit bgt,3,0,gagal proses sulit
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,2,0,buka aplikasi alas baik
Bagusss sih bisa utk acuan,3,0,bagus acu
"Katanya Smart sevice, tapi bagian CCTV ga bisa di akses. 🙄🙄",2,0,smart sevice cctv akses
"Aplikasi Bagus, mungkin bisa cari penyedia layanan hosting yang lebih baik dan ternama agar tidak terjadi down ketika banyak user yang akses",3,0,aplikasi bagus cari sedia layan hosting nama down user akses
"Aku gak instal dulu, soalnya dr reviewnya aja aplikasi ini belum beres",1,0,install reviewnya aplikasi beres
Tidak bisa login,1,0,login
semakin bagus dan komunikatif,3,0,bagus komunikatif
"Bolan-baleni nglebokke NIK dan sesuai prosedur tapi gagal masuk... Uninstall meneh, semoga ada perbaikan. Tetep semangat & ikhlas melayani masyarakat nggih...",1,0,bol balen nglebokke nik sesuai prosedur gagal masuk uninstall teh moga baik semangat ikhlas layan masyarakat nggih
"tidak bisa di operasikan setelah di upgrade ke jss yg baru,,,",1,0,operasi upgrade yogyakarta smart service
"tidak bisa daftar,tombol daftarnya ridak kelihatan dan tidak bisa di scroll ke bawah. mohon perbaikan, terima kasih",2,0,daftar tombol daftar ridak scroll mohon baik terima kasih
Mau update malah mandek ditengah jalan alhasil macet,3,0,update mandek tengah jalan alhasil macet
Masuk ke registrasinya lama bnget ya,3,0,masuk registrasi banget
Membalas pesan Membuat pengaduan Hampir semua tidak bisa diakses dengan keterangan hanya untuk warga kota jogjakarta.. Padahal dengan jelas data yg saya punya untuk mendaftar juga ktp kota jogja.. Mohon diperbaiki,1,0,balas pesan adu akses terang warga kota jogjakarta data daftar ktp kota yogyakarta mohon baik
Mohon untuk akses cctv dapat dibuka untuk agar pengguna dapat maksimal dalam menerima manfaat aplikasi ini,3,0,mohon akses cctv buka guna maksimal terima manfaat aplikasi
Di klik go bisa2,1,0,klik
selalu tambah inovasi baru,3,0,inovasi
"Kok pas lagi mau ngeseks WiFi nya malah di suruh login padahal saya sudah login akun jss, kok jadi ke log out sendiri ya, tolong di perbaikin ya 🙏🙏🙏",2,0,pas ngeseks wifi suruh login login akun yogyakarta smart service log out baik
Prek apl eror eror buat aplikasi yang bener nunggu kelamaan as buh. Gimama Indonesia dan jogja mau maju jika seperti ini,1,0,prek aplikasi error error aplikasi tunggu as buh gimama indonesia yogyakarta maju
Ini kok fitur nya membingung kan ya ... Loading nya lama bgt trs kurang jelas juga ..,2,0,fitur bingung loading
Ealah,1,0,
Terlalu ribet saat login,1,0,ribet login
Katanya ada PBB ternyata tidak ada,1,0,pbb
Gk bisa di gunakan mhin di tingkatkan,1,0,mhin tingkat
"teruntuk developer apk JSS Apk y uda gud,tampilan y ok simpel mudah d mengerti. E tapi Fungsional apk sangat kurang 1.Isi formulir malah di alihkan ke browser 2.Nomor Pengaduan yg tertera no respon",1,0,untuk developer aplikasi yogyakarta smart service aplikasi good tampil simpel mudah erti fungsional aplikasi isi formulir alih browser nomor adu tera respon
"aplikasi rusak..sebagai warga jogja kecewa sih,niat pngen lewat online tp mlah aplikasi.nya eror gini..ujung""nya harus ke balkot urus manual",1,0,aplikasi rusak warga yogyakarta kecewa niat pngen online aplikasi error ujung balkot urus manual
Tiba² keluar dan masuk lagi gak bisa padahal akun dan password sudah benar...dan sebelumnya upload identitas gak bisa terus...piye to iki...aplikasi sudah siap belum,2,0,masuk akun password upload identitas piye aplikasi
Masih bagus sama aplikasi sebelumnya. Diupdate malah makin eror..,1,0,bagus aplikasi diupdate error
",aplikasi cuma buat penipuan biar cepat habis kuwota anda, Jngn Download aplikasi ini brooo",1,0,aplikasi tipu biar cepat habis kuwota download aplikasi brooo
Good,2,0,good
Presensi berjalan krg lancar krn sering terganggu,3,0,presensi jalan krg lancar ganggu
"Kenapa saya pakai Aplikasi di android redmi note 10 pro tp utk fitur pendaftaran vaksinasi tidak bisa saya akses, tp kalau masuk dr smartphone yang lain bisa",1,0,pakai aplikasi android redmi note pro fitur daftar vaksinasi akses masuk smartphone
Gak bisa daftar.,2,0,daftar
Dipake buat lihat pajek bangunan gak bisa,1,0,pakai lihat pajek bangun
sedikit2 didandani... :(,2,0,dandan
Verifikasinya lamaaaaaaaaaaaa,1,0,verifikasi lamaaaaaaaaaaaa
Sepertinya hnya bisa diakses untuk keperluan jam kantor,2,0,akses perlu jam kantor
"Baru sampai pada proses pendaftaran saja sudah rumit dan ribet harus menggunakan swafoto dan swavideo dengan KTP. Niatnya mau mempermudah malah rumit, proses verifikasi dari kominfo memakan waktu 2 hari.",1,0,proses daftar rumit ribet swafoto swavideo ktp niat mudah rumit proses verifikasi kominfo makan
"Aplikasi pemerintah, tapi pelayanan dari Kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim Kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat🙏🏻",1,0,aplikasi perintah layan kominfo fast mohon maaf daftar verifikasi tim kominfo mohon baik kerja layan masyarakat
"Habis update tidak bisa diakses, Mohon diperbaiki, Web juga tidak bisa diakses",1,0,habis update akses mohon baik web akses
Aplikasi gak stabil Lelet,1,0,aplikasi stabil lelet
"Aplikasi bagus, tapi tolong dibuat lebih simple, niatnya mau canggih tapi malah bikin emosi masal. Karena gak semua orang mudah memahami aplikai ini. Buat it nya selamat kerja keras, kalau tidak sanggup silahkan mundur biar diganti yang lain yang lebih siap.",1,0,aplikasi bagus simpel niat canggih emosi masal orang mudah paham aplikai selamat kerja keras sanggup silah mundur biar ganti
Aplikasi kurang sempurna,1,0,aplikasi sempurna
"Hebat sekali pelayanan publik dukcapil kota jogja!!! Untuk penggantian KTP rusak melalui JSS dibutuhkan waktu 3 hari lebih, benar benar MAKAN GAJI BUTA. sekedar perbandingan saja penggantian KTP rusak di drivetrue dibutuhkan waktu 10 menit. Lewat aplikasi JSS dibutukan waktu 6X24 jam. Memang yang dilayani bukan hanya saya tapi apa juga selama itu juga proses pengajuan saya???!!!!",1,0,hebat layan publik dukcapil kota yogyakarta ganti ktp rusak yogyakarta smart service butuh makan gaji buta banding ganti ktp rusak drivetrue butuh menit aplikasi yogyakarta smart service dibutukan jam layan proses aju
Status propil dari ketua RT menjadi warga sudah registrasi ulang tapi belum berhasil,3,0,status propil ketua rt warga registrasi ulang hasil
"mau daftar free hotspot susah, udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah trus ga bisa pdhl uda bnr pass akun nya",3,0,daftar free hotspot sulit download sertifikat personal pas ekstrak masuk pass akun yogyakarta smart service salah pass akun
"Aktivasi ulang tidak pernah bisa,",1,0,aktivasi ulang
Sering gagal nyambung ke wifi,1,0,gagal sambung wifi
Kok tidak bisa dipake?,1,0,pakai
Angel sebagian tempat ko mengunakan catphe untuk masuk di kecamatan kelurahan di akses pun susah jare fasilitas go warga kota tapi gak iso guna cm sinyal tok sek jebak arep login ura iso .......,2,0,angel catphe masuk camat lurah akses sulit jare fasilitas warga kota iso sinyal sek jebak arep login ura iso
"Membantu, tapi sekarang jjs hotspot saya nggak bisa dipakek, diotak-atik nggak ada hasil",3,0,bantu jjs hotspot dipakek otak atik hasil
Percuma.. tdk bisa dipakai.. selalu error.. dihubungi ke no helpdesk(WA) tdk ada respon.. dibacapun nggak.. jogja mmg istimewa??? Auto delete..,1,0,pakai error hubung helpdesk wa respon baca yogyakarta istimewa auto delete
"Tolong presensi online di mas test dulu, sebelum di launch, terimakasih",1,0,presensi online test launch terima kasih
Vźxpb,3,0,xpb
tidak bisa registrasi tolong di perbaikin developers bug swavideo error,2,0,registrasi baik developers bug swavideo error
Sulitnya mau login... Gak jadi aja aah.... Sudah dapat WA...tapi di klik gak ada opsi apapun,1,0,sulit login aah wa klik opsi apa
Gk bisa login wifi woi,1,0,login wifi
Mau login aja ribett banget dan lamaa,1,0,login ribett lamaa
CCTV ga bisa dibuka. Padahal paketan lancar jaya. Ini sih murni dari Aplikasinya,1,0,cctv buka paket lancar jaya murni aplikasi
Susah login pendaftaran vaksin,1,0,sulit login daftar vaksin
Kok ga bisa didownload yaa????,1,0,didownload
Ribet.enak langsung datang ke kecamata selesai,1,0,ribet enak langsung kecamata selesai
"Tidak bisa mendaftar, keterangannya KTP tidak terdaftar, padahal jelas KTP dr pemerintah.",1,0,daftar terang ktp daftar ktp perintah
notifnya bikin kaget 😑,3,0,notifnya kaget
kurang baik,2,0,
"Dishub, layanan angkutan umum, blm ada di aplikasi ini",1,0,dishub layan angkut aplikasi
Agak susah sinyalnya,3,0,sulit sinyal
"Sebenarnya aplikasi yg bagus dan sangat bermanfaat, Hanya layanan aplikasi bisa ditingkatkan lagi , pilihan font huruf kurang besar , kalo ada opsi pilihan huruf lbh bagus lagi bikin betah sering2x berkunjung dimari . Apalagi ditambah mode gelap , lbh mantap . 👍😁",3,0,aplikasi bagus manfaat layan aplikasi tingkat pilih font huruf opsi pilih huruf bagus betah kunjung mari tambah mode gelap mantap
"Cctv tidak bisa di play min, error cctv nya. Jadi tidak bisa memantau sikon jalan seperti apa",3,0,cctv play error cctv pantau sikon jalan
"Update terbaru (2 juni 21), aplikasi lemot, daftar antrian puskesmas mental ke halaman beranda saat upload bpjs. Mohon di benahi. Maturnuwun",1,0,update baru juni aplikasi lot daftar antri puskesmas mental halaman beranda upload bpjs mohon benah maturnuwun
"Untuk fitur Live chat JSS respon nya kurang cepat dan kadang respon nya membingungkan karena yang membalas chat nya menggunakan bot. Harusnya admin live chat JSS dari sumber daya manusia yang ada di Diskominfosan saja, agar pertanyaan masyarakat dapat dijawab secara jelas.",2,0,fitur live chat yogyakarta smart service respon cepat kadang respon bingung balas chat bot admin live chat yogyakarta smart service sumber daya manusia diskominfosan masyarakat
"Saya bukan pegawai, tp disuruh update JSS",1,0,pegawai suruh update yogyakarta smart service
WiFi kok tidak ada akses internet terus,3,0,wifi akses internet
Astaghfirulloh.. Mau log in susahnya ampun deh,1,0,astaghfirulloh log susah ampun
oke tak coba dulu,3,0,oke coba
MUH NURiZZA,2,0,
"Pelayanan online masih berantakan banget, ngurus KK baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh",1,0,layan online beranta urus ribetnya ampun admin wa slow respon cari pegawai kompeten
Mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dr salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tdk bisa berjalan triamakasih,1,0,mohon sempurna fitur absensi otomatis baru jalan dihp sekolah kemarin info salah pegawai dinas didik coba jalan triamakasih
"App OP bangat , selalu gak bisa di pake🎉",2,0,aplikasi banget pakai
Respon lambat msh banyak troubel,1,0,respon lambat troubel
Sekarang sering eror mau absen harus updet terus dari kemarin,3,0,error absen update kemarin
Kok mau gabti foto aja di browser gk bs,1,0,gabti foto browser
Regrestasi lambat,1,0,regrestasi lambat
Sering trouble,1,0,trouble
"Untuk log in selalu ber masalah, dari segi login bagus beda dgn wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama 😖 mohon tinjau ulang kak akses tersebut",1,0,log segi login bagus beda wifi akurat log sering gagal pakai data log mohon tinjau ulang akses
Maaf sebelumnya...tolong untuk pegawai yg ikut jam kerja shift terutama masuk sore untuk jam kepulangan diberi jeda/spaleng waktu untuk absen dan tolong mengenai jadwal kami yang sering trouble dan tidak dapat melakukan absen...mohon untuk dibenahi lg karna kami sebagai pegawai yg dirugikan padahal kami sudah melakukan kewajiban kami untuk memenuhi jam kerja,1,0,maaf pegawai jam kerja shift masuk sore jam pulang jeda spaleng absen jadwal trouble absen mohon benah pegawai rugi wajib penuh jam kerja
Erroorr terooss. Sialllll,1,0,erroorr terooss sialllll
Mohon maaf ini kenapa aplikasi nya tidak bisa digunakan ya? Saya pencet apapun yg ada di menu tidak bisa. Mohon bantuannya.,2,0,mohon maaf aplikasi pencet apa menu mohon bantu
tambah cctv area piyungan ketimur/ kearah wonsa,3,0,cctv area piyungan timur arah wonsa
On,2,0,
"Tolong registrasi di permudah dong, ga usah ada vermuk, yg kamera nya jelek susah mau daftar",3,0,registrasi mudah vermuk kamera jelek sulit daftar
"Gak pernah bisa masuk, pusing sampek an .. ini sebenarnya bisa di pake gak sih???",1,0,masuk pusing pakai
"Judulnya ""Aplikasi untuk memudahkan masyarakat dalam memperoleh layanan-layanan yang telah disediakan Oleh Pemerintah Kota Yogyakarta"". Tapi faktanya setiap mengajukan pertanyaan saja tak pernah ada tanggapan/balasan. Memudahkan darimananya ???",1,0,judul aplikasi mudah masyarakat oleh layan layan sedia perintah kota yogyakarta fakta aju tanggap balas mudah darimananya
Ada fitur CCTV tapi ga bisa dilihat,2,0,fitur cctv
BELUM PROFESIONAL,1,0,profesional
"Tolong dong dibikin widget buat presensi online nya, biar langsung dapat diakses di home screen. dan satu lagi tampilan home nya jangan berat2, hp kentang jadi lemot makasih... #karyawanpemkot",2,0,widget presensi online biar langsung akses home screen tampil home berat hp kentang lot terima kasih karyawanpemkot
apl bsk,1,0,aplikasi
Tidak bisa untuk membuat laporan...,1,0,lapor
"aplikasi apaan ini,mau ganti nomor hp gak bisa.aneh",1,0,aplikasi ganti nomor hp aneh
"Aplikasi yang baik. Masih belum bisa digunakan, isi konten nya masih banyak yang belum bisa dioperasikan atau masih kosong. Saya punya harapan besar aplikasi JSS ini akan bisa membantu banyak kebutuhan. Terima kasih.",3,0,aplikasi isi konten operasi kosong harap aplikasi yogyakarta smart service bantu butuh terima kasih
"Mengurus kepindahan KTP saja dipersulit dan diarahkan aplikasi yg sepertinya tidak siap, niate online malah ora efektif",1,0,urus pindah ktp sulit arah aplikasi niate online ora efektif
"tolong diperbaiki lagi, nyambung wifi buat buka situs situs lainya ga bisa trus,main youtube aja dipersulit",1,0,baik sambung wifi buka situs situs main youtube sulit
"Maaf,pernah masang aplikasi ini..tapi setelah jarang saya buka mau masuk lagi kok susah? Padahal sudah terdaftar dulunya..",2,0,maaf masang aplikasi jarang buka masuk sulit daftar
Kok jadi susah ya,1,0,sulit
Bagus,1,0,bagus
Rasis sekali vaksin kebanyakan nik JOGJA tidak adil buat pendatang KALIAN TIDAK ADA WARGA PENDATANG WISATA & PENDIDIKAN KALIAN TIDAK AKAN BERKEMBANG INGAT!,1,0,ras vaksin banyak nik yogyakarta adil datang warga datang wisata didik kembang
"Aplikasi dibuka blank, apa dalam perbaikan?",2,0,aplikasi buka blank baik
Banyak berita yang saya dapat dari jss,5,1,berita yogyakarta smart service
Sangat membantu dan lengkap.,5,1,bantu lengkap
Aplikasinya sangat membantu dan bermanfaat bagi masyarakat dan ASN,5,1,aplikasi bantu manfaat masyarakat asn
Bagus,5,1,bagus
sangat membantu dan aplikasi sangat lancar no lag dan no iklan 👍😁 jos pokoe,5,1,bantu aplikasi lancar lag iklan pokoe
"Mantap sangat membantu, tapi klo boleh kasih saran d setiap sudut jln yg d rawan kejahatan d pasang cctv atau perlu semua kota dn desa supaya bisa termpantau monitor dn bisa langsung memberi tahukan polisi, dn sangat membantu jika criminal melarikan diri bisa terpantau posisinya",5,1,mantap bantu kasih saran sudut jalan rawan jahat pasang cctv kota desa termpantau monitor langsung tahu polisi bantu criminal lari pantau posisi
Sangat membantu masyarakat jogja,5,1,bantu masyarakat yogyakarta
Cepat tertangani,4,1,cepat tangan
Oke,4,1,oke
"Mantap sekali, baru kali ini ada aplikasi all in one",5,1,mantap aplikasi all one
Lancar akses jss,5,1,lancar akses yogyakarta smart service
memudahkan warga mengakses informasi,5,1,mudah warga akses informasi
Aplikasi bagus....,5,1,aplikasi bagus
Sangat membantu sekali. Mantap,5,1,bantu mantap
Ok,5,1,
cocok buat warga jogja,5,1,cocok warga yogyakarta
Luar biasa,5,1,
Alhamdulillah aplikasi ini memudahkan kinerja pegawai dan warga kota jogja. Cuma masih sering ada kendala pada saat waktu presensi...,5,1,alhamdulillah aplikasi mudah kerja pegawai warga kota yogyakarta kendala presensi
Mantap dan manfaat,5,1,mantap manfaat
Penting dan bermanfaat,5,1,manfaat
Sangat membantu kami dalam memantau anak,5,1,bantu pantau anak
Bagus,5,1,bagus
Aplikasinya membantu bagi Masyarakat dan ASN di lingkungan Kota Yogyakarts dalam hal pelayanan dsb.,5,1,aplikasi bantu masyarakat asn lingkung kota yogyakarta layan
sangat mudah,5,1,mudah
mantab,5,1,mantap
Keren dan mudah serta cepat menambah informasi,5,1,keren mudah cepat tambah informasi
Ok,5,1,
Peningkatan pelayanan prima kepada warga kota yogyakarta.,5,1,tingkat layan prima warga kota yogyakarta
Sebuah inovasi yang sangat membantu,5,1,inovasi bantu
Bagus,5,1,bagus
"Bermanfaat sekali, tingkatkan",5,1,manfaat tingkat
Sangat membantu aplikasinya,5,1,bantu aplikasi
Bermanfaat dan bermartabat,5,1,manfaat martabat
Ok banget warga jadi tahu info nya,5,1,warga info
Mantul,5,1,mantul
Baik,5,1,
Aplikasi yang berisi semua pelayanan pemkot jogja.. Semua layanan terintegrasi disini.. JSS Josss,5,1,aplikasi isi layan perintah kota yogyakarta layan integrasi yogyakarta smart service
Siip,5,1,sip
"mantab dech,, sangat membantu",5,1,mantap bantu
Mempermudah aktivitas pekerjaan,5,1,mudah aktivitas kerja
Ok ok ok ok,5,1,
siip,5,1,sip
"Aplikasi lengkap, cepat, dan mudah digunakan. Info terkini juga dapat segera diakses oleh masyarakat melalu aplikasi ini. Semoga dapat berkembang menjadi lebih baik lagi.",5,1,aplikasi lengkap cepat mudah info kini akses masyarakat lalu aplikasi moga kembang
Sangat membantu orang tua dan warga jogja,5,1,bantu orang tua warga yogyakarta
Bagus,4,1,bagus
Aplikasi yg bagus,5,1,aplikasi bagus
Mantap,5,1,mantap
Top bgt,5,1,top
"Semoga lebih meningkat supaya lebih cepat loadingnya, namun tetap ringan di gadget.",5,1,moga tingkat cepat loadingnya ringan gadget
"Aplikasi ini sangat bermanfaat dan membantu masyarakat karena bisa di akses dimana saja, menunya juga lengkap",5,1,aplikasi manfaat bantu masyarakat akses menu lengkap
Aplikasi yang sangat membantu kami warga kota Yogyakarta...👍👍,5,1,aplikasi bantu warga kota yogyakarta
"Jooozzzzz....,👍👍👍👍",5,1,
"Lambat, pake kuota maupun wifi",5,1,lambat pakai kuota wifi
Tak Perlu Ragu Jadi Profesional & Jangan lupa bahagia hari ini...,5,1,ragu profesional lupa bahagia
Ya baik,5,1,
Aplikasi sangat bermanfaat.... Keren,5,1,aplikasi manfaat keren
Jos,5,1,
Sangat bagus & sangat membantu memudah kn mendapat kn layanan kepemerintahan,5,1,bagus bantu mudah layan perintah
Udah bagus,4,1,bagus
Love it,5,1,love
siip,5,1,sip
Memudahkan berbagai macam pelayanan,5,1,mudah layan
Mantap banget bosku,5,1,mantap bos
ok,5,1,
Belum pernah mempergunakan saja,5,1,
Bagus bermanfaat,5,1,bagus manfaat
oke,5,1,oke
Kok habis up date aplikasi ini.trus ga nyambung ada notifkasi aplikasi terhenti tunggu laporan,5,1,habis up date aplikasi sambung notifkasi aplikasi henti tunggu lapor
"aplikasi sangat membantu dalam urusan urusan kependudukan dan lain lain, dan tidak banyak memakai ruang penyimpanan dalam handphone",5,1,aplikasi bantu urus urus duduk pakai ruang simpan hp
Bagus,5,1,bagus
"memudahkan, semoga terus upgrade lagi dengan fitur2 terbaiknya ya",5,1,mudah moga upgrade fitur baik
top,5,1,top
Bisa mendapat info lbh lengkap!,5,1,info lengkap
Coba instal dulu. Aplikasi yg bagus buat warga Jogja.,5,1,coba install aplikasi bagus warga yogyakarta
semakin mudah semakin nyaman,5,1,mudah nyaman
Memudahkan pelayanan internal pegawai pemkot dan layanan publik kepada masyarakat. User interface juga friendly user 👍🏽👍🏽,5,1,mudah layan internal pegawai perintah kota layan publik masyarakat user interface friendly user
Mantap.,5,1,mantap
Selalu tingkatkan layanan ke masyarakat dgn cara yang lebih simple dan mudah. Mtr nwn,5,1,tingkat layan masyarakat simpel mudah mtr nwn
Mantappp bagus,5,1,mantap bagus
praktis dalam penyampaian keluhan dan meresponnya cepat,5,1,praktis sampai keluh meresponnya cepat
Sangat bermanfaat bagi masyarakat Kota Yogyakarts,5,1,manfaat masyarakat kota yogyakarta
👍🏼,5,1,
"cepat, tepat, manfaat 👍",5,1,cepat manfaat
👌👌👌👌👌👌,5,1,
Mungkin untuk cctv area sleman dan tempel bisa ditambahkan,4,1,cctv area sleman tempel
Sangat membantu,5,1,bantu
Bagus dan sangat membantu warga Saya sebagai warga kota jogja sangat bangga dengan aplikasi jss ini...,5,1,bagus bantu warga warga kota yogyakarta bangga aplikasi yogyakarta smart service
aplikasi sangat bermanfaat,5,1,aplikasi manfaat
Alhamdulillah lumayan,4,1,alhamdulillah lumayan
Ok lumayan membantu..,5,1,lumayan bantu
Kami membutuhkan info masuk PTN dan PTS,5,1,butuh info masuk ptn pts
Optimal,5,1,optimal
Jozzzzz...,5,1,
Mantap...pelayanan makin mudah..👍👍,5,1,mantap layan mudah
Saya ingin buka jogja smart service dengan cepat,5,1,buka yogyakarta smart service cepat
"Aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya... Entah hape saya yang bermasalah atau bagaimana? Mohon pencerahannya.",5,1,aplikasi manfaat klik layan dukcapil khusus buat akta klik sambung webnya hp masalah mohon cerah
Bagus,5,1,bagus
Lancar oke,4,1,lancar oke
"Dari nenek, ayah,ibu dan saya lahir dan tinggal di jogja sejak kecil....KTP DIY kok di aplikasi terbaca warga luar kota,apkikasinya yg salah atau data dukcapilnya yg salah ya....mohon penjelasanya....terimakasih",4,1,nenek ayah lahir tinggal yogyakarta ktp yogyakarta aplikasi baca warga kota apkikasinya salah data dukcapilnya salah mohon jasa terima kasih
Kok presensi hilang jeh,5,1,presensi hilang jeh
Jogjaku istimewa,5,1,jogjaku istimewa
Bagus aplikasi untuk pelayanan masyarakat,5,1,bagus aplikasi layan masyarakat
Bagus & informatif,5,1,bagus informatif
Sempurna,5,1,sempurna
"Unggah foto ktp buat pendaftaran kartu kuning kok ga bisa i piye? Mohon dijawab, terima kasih",4,1,unggah foto ktp daftar kartu kuning piye mohon terima kasih
"Saya belum pernah vaksin, bagaimana caranya",5,1,vaksin
Ok sipp,5,1,sip
Wait,5,1,wait
Bagus,5,1,bagus
Aplikasi yg baik satu untuk semua,5,1,aplikasi
tobat aplikasine marai mumet,5,1,tobat aplikasine mara mumet
Info jogja cepat Info darurat tersedia,4,1,info yogyakarta cepat info darurat sedia
Mempermudah akses komunikasi orang jogja😊,5,1,mudah akses komunikasi orang yogyakarta
bagus,5,1,bagus
Aplikasi satu untuk semua,5,1,aplikasi
Susah gabung,5,1,sulit gabung
Absen gak bisa padahal dah di kantor.,4,1,absen kantor
Bisa membantu kalau ada kerusakan,5,1,bantu rusa
Siap,5,1,
Bagus,5,1,bagus
Lancar,5,1,lancar
Good,5,1,good
Sangat terbantu sekali oleh aplikasi JSS,5,1,bantu aplikasi yogyakarta smart service
Bagus,5,1,bagus
Mengapa layanan buat surat pengantar di versi yg baru malah sudah tidak ada lagi daftar warga yg akan dibuatkan surat pengantar? Padahal ini sangat membantu bagi warga yg tidak punya HP Android apalagi aplikasinya. Mohon perhatian nya.,4,1,layan surat antar versi daftar warga buat surat antar bantu warga hp android aplikasi mohon perhati
Keren kerja cepat dan tepat,5,1,keren kerja cepat
Memuaskan,5,1,muas
Aplikasi yang bagus mantab good job,5,1,aplikasi bagus mantap good job
siiip,5,1,sip
"moga2 gk ribet biar bisa menggatikan data pishik, bismillah mugo2 iso gunakr",5,1,moga ribet biar menggatikan data pishik bismillah mugo iso gunakr
Segala sesuatu tentang Jogja serasa dalam satu gengaman,5,1,yogyakarta serasa gengaman
Josss,5,1,
Mantapp..!!,5,1,mantap
Mantap,5,1,mantap
Bagus,5,1,bagus
Pemkot jogja is the best,5,1,perintah kota yogyakarta best
Bagus,5,1,bagus
Maju terus Jogjakita,4,1,maju jogjakita
Jossss.,5,1,jossss
Bagus,5,1,bagus
Bermanfaat,5,1,manfaat
Nice,5,1,nice
Good aplikasi,5,1,good aplikasi
Kota Yogyakarta Istimewa,5,1,kota yogyakarta istimewa
Semoga berguna biasa jd penyambung lidah rakyat Jogja,5,1,moga guna sambung lidah rakyat yogyakarta
Sangat membantu,5,1,bantu
good,5,1,good
Aplikasi JSS memang smart,5,1,aplikasi yogyakarta smart service smart
Ok,5,1,
mudah,5,1,mudah
Aplikasi satu untuk semua,5,1,aplikasi
Mantap. Tingkatkan terus aplikasinya,5,1,mantap tingkat aplikasi
Semoga kota Jogja semakin maju,5,1,moga kota yogyakarta maju
kota Jogja sekarang makin bagus penataanya terutama wilayah Malioboro,5,1,kota yogyakarta bagus penataanya wilayah malioboro
Bagus,5,1,bagus
klk mau liat cctv Jogja di gogle jg ada loh,5,1,klk lihat cctv yogyakarta gogle
Maaf ini layanan antrian rs pratama kok tidak bisa diakses ya?,4,1,maaf layan antri rs pratama akses
Bagus,4,1,bagus
Dengan adanya Aplikasi JSS lebih mempermudah untuk berbagai informasi dan pelayanan yang dibutuhkan masyarakat,5,1,aplikasi yogyakarta smart service mudah informasi layan butuh masyarakat
Semakin kesini sudah semakin bagus... Semoga makin banyak manfaat bagi warga jogja,5,1,bagus moga manfaat warga yogyakarta
"Kini, semua bisa dalam genggaman. Maju terus kota Jogja ❤",4,1,genggam maju kota yogyakarta
Aplikasinya sangat membantu untuk pembuatan akta & KIA,5,1,aplikasi bantu buat akta kia
Jos 👍 kota Jogja maju terus menuju smart city 🤩💪,5,1,kota yogyakarta maju smart city
Aplikasi bagus mantab sangat informatif dan sangat bermanfaat,5,1,aplikasi bagus mantap informatif manfaat
Mempermudah sistem pelayanan pegawai maupun masyarakat,5,1,mudah sistem layan pegawai masyarakat
Harus pakai aplikasi ini untuk pelaksanaan kerja sehari-hari di Kota Yogyakarta,5,1,pakai aplikasi laksana kerja hari kota yogyakarta
Siip update selalu.. cari bug nya biar jossss,5,1,sip update cari bug biar jossss
"Terimakasih,",5,1,terima kasih
Bagus,5,1,bagus
aplikasi yang terintegrasi . semua pelayanan ada dalam satu aplikasi,5,1,aplikasi integrasi layan aplikasi
Mantap sekali coy 👍🙏👍,5,1,mantap coy
Bagus,5,1,bagus
Sangat bermanfaat dan membantu dalam layanan kepada Masyarakat dan Pegawai,5,1,manfaat bantu layan masyarakat pegawai
Bener2 melatih kedisiplinan....,5,1,latih disiplin
Keren,5,1,keren
"Maaf hari ini Senin 22 Juni 2020 saya tidak bisa melakukan presensi online, tidak diketahui sebabnya, tetapi pada tampilan halaman presensi online tidak ada opsi masuk. Apakah nanti ada klarifikasi? Karena presensi online adalah bukti masuk kerja yang diakui.",5,1,maaf senin juni presensi online tampil halaman presensi online opsi masuk klarifikasi presensi online bukti masuk kerja aku
Mantul,5,1,mantul
Saya sfh ikut,5,1,sfh
Mantap,5,1,mantap
Ok,5,1,
Perlu peningkatan,4,1,tingkat
"Pelayananya ramah, cepat, tempatnya nyaman bgt...anak2 friendly... Bisa ngprint dokumen sndri.. Ada layanan wifi gratis.. Mantep..👍",5,1,layan ramah cepat tempat nyaman anak friendly ngprint dokumen sndri layan wifi gratis mantap
